Código;Categoria 1;Categoria 2
B50003AZ;28;46
B50005RO;28;46
B50007RGB;28;46
B50031BC;28;46
B50032BF;28;46
B50033AZ;28;46
B50041BC;28;46
B50042BF;28;46
B50043AZ;28;46
B50047RGB;28;46
B50050BC;28;46
B50051BF;28;46
B50052AZ;28;46
B50060;28;46
B50061;28;46
B50062;28;46
B50063;28;46
B50065;28;46
B50070BC;28;46
B50070RGB;28;46
B50071BC;28;46
B50080BC;28;46
B50080RGB;28;46
B50090BC;28;46
B50090RGB;28;46
B51001;28;46
B51002;28;46
B51003;28;46
B521AZ;52;
B521RO;52;
B521VE;52;
B522BC;52;
B522BF;52;
B522BN;52;
B525BC;52;
B525BF;52;
B525BN;52;
B604;70;
B615BC;80;
B615BN;80;
B62030BF;32;
B622-2BC;80;
B622-2BF;80;
B705-2-DBC;34;33
B706-2-BC;34;33
B706-2-BN;34;33
B709-2-BC;34;33
B709-2-BF;34;33
B709-2-BN;34;33
B8100-0/10;64;
B8100-2;64;
B8100-2-B;64;
B8100-3;64;
B8100-90;64;
B8100-B;64;
B8110-2;64;
B8115-2;64;
B8120-2;64;
B8151;65;
B8215;65;
B8220;65;
B8301;65;
B8302;65;
b8315;65;
B8316;43;
B8400-120BF;29;63
B8400-120SBF;29;63
B8400-150BF;29;63
B8400-60BF;29;63
B8410-120BF;29;63
B8410-150BF;29;63
B8500-1;29;
B8500-120BC;29;
B8500-120BF;29;
B8500-120BN;29;
B8500-150BC;29;
B8500-150BF;29;
B8500-150BN;29;
B8500-60BC;29;
B8500-60BF;29;
B8500-60BN;29;
B8600BF;66;
B8700-AM-CAR;37;
B8700-AM-FYV;37;
B8700-AM-PAN;37;
B8700-AM-PES;37;
B8700-AM-PYM;37;
B8700-AM-RET;37;
B8700-AZ-CAR;37;
B8700-AZ-FYV;37;
B8700-AZ-PES;37;
B8700-AZ-PYM;37;
B8700-RO-CAR;37;
B8700-RO-FYV;37;
B8700-RO-PAN;37;
B8700-RO-PES;37;
B8700-RO-PYM;37;
B8700-RO-RET;37;
B9000-B-BN;29;36
B9000-C;29;36
B9000-N-BN;29;36
B900-120;66;
B905BC;51;
B905BN;51;
B906BC;51;
B906BN;51;
B938097;24;
B938103;24;
B938105;24;
B938-UGR;24;
B939-B;24;
B939-NI;24;
B942-B;24;
B942-NM;24;
B9500;24;
B951-B;24;90
B951-NM;24;90
B952-B;24;90
B952-NM;24;90
B961BC;51;90
B961BF;51;90
B962-AL;51;90
B962AZ;51;90
B962-B;51;90
B962-NM;51;90
B972-AL;51;90
B972-B;51;90
B991-B;51;90
B991-N;51;90
B992-B;51;90
B992-N;51;90
BCP2010.9;76;
BDBO16;54;
BDBO16X16;54;
BDBO18;54;
BDBO20x27;54;
BDBO21x26;54;
BDBO27X11;54;
BDBO-30;54;
BDBO36x28;54;
BDBO-DIAM21;54;
BDBOG16;54;
BDBOG-30;54;
BDBOG-60;54;
BDTP16;54;
BGDIAM21;54;
BGM16X16;54;
BGM17;54;
BGM18;54;
BGM18X49;54;
BGM19X19;54;
BGM20X27;54;
BGM36X28;54;
BGPS17;54;
BGPS19X19;54;
BPAB20X3;54;
BPERF12X12;54;
BPERF16X16;54;
BPERF17X15;54;
BPERF17X8;54;
BPERF18X44;54;
BPERF18X49;54;
BPERF18X6;54;
BPERF19X19-45;54;
BPERF20X27;54;
BPERF21X26;54;
BPERF23X15;54;
BPERF23X8;54;
BPERF26X78;54;
BPERF27X11;54;
BPERF36X28;54;
BPERF58X9;54;
BPERF80X50;54;
BPERF-DIAM21;54;
BPERF-S;54;
BTM-100-B;78;
BTM-100-N;78;
BTM-200-B;78;
BTM-200-N;78;
BTM-200-P;78;
BTM-GB01-B;78;
BTM-GB01-N;78;
BTM-GB02-B;78;
BTM-GB02-N;78;
BTM-GB03-B;78;
BTM-GB03-N;78;
BTM-GB04-B;78;
BTM-GB04-N;78;
BTM-GB06-B;78;
BTM-GB06-N;78;
BTM-GB07-B;78;
BTM-GB07-N;78;
BTM-GB07-P;78;
BTM-GB08-B;78;
BTM-GB08-N;78;
BTM-GB08-P;78;
BTM-GB09-B;78;
BTM-GB09-N;78;
BTP16X16CA;54;
BTP16X16SA;54;
BTP17X15-30CA;54;
BTP17X15-30SA;54;
BTP17X15-60CA;54;
BTP17X15-60SA;54;
BTP17X15CA;54;
BTP17X15SA;54;
BTP17X8-60CA;54;
BTP17X8-60SA;54;
BTP17X8CA;54;
BTP17X8SA;54;
BTP18X44CA;54;
BTP18X44SA;54;
BTP18X49SA;54;
BTP18X6CA;54;
BTP18X6SA;54;
BTP19X19CA;54;
BTP19X19SA;54;
BTP20X27CA;54;
BTP20X27SA;54;
BTP21X26SA;54;
BTP23X15CA;54;
BTP23X15SA;54;
BTP23X8CA;54;
BTP23X8SA;54;
BTP26X78CA;54;
BTP26X78SA;54;
BTP27X11CA;54;
BTP27X11SA;54;
BTP36X28CA;54;
BTP36X28SA;54;
BTP58X9CA;54;
BTP58X9SA;54;
BTP80X50CA;54;
BTP80X50SA;54;
BTPCA-DIAM21;54;
BTPSA-DIAM21;54;
BTT-200-B;78;
BTT-200-N;78;
BTT-GB01-B;78;
BTT-GB01-N;78;
BTT-GB02-B;78;
BTT-GB02-N;78;
BTT-GB03-B;78;
BTT-GB03-N;78;
BTT-GB06-B;78;
BTT-GB06-N;78;
BTT-GB07-B;78;
BTT-GB07-N;78;
BTT-GB08-B;78;
BTT-GB08-N;78;
BTT-GB09-B;78;
BTT-GB09-N;78;
BU180-17X8;54;
BU90-17X8;54;
BV001;320;
BV002;320;
BV003;320;
BV004;320;
BV005;320;
BV1358-BC;51;
BV1358-BN;51;
D1009AC-HP;70;
D1009FA;70;
D1009HS;70;
D1009HT;70;
D15.555.000.AXE27FC1;47;
D2005;70;
D2006;70;
D2401;70;
D2501(0-10V/PWM);70;
D2501AC;70;
D2501N;70;
D2501NS;70;
D2801F;70;
D2801K1;70;
D2801K2;70;
D2805R;70;
D2819S;70;
D2820;70;
D2828;70;
D2828-CCT;70;
D2901S;70;
D8001ADC;70;
D8001BDC;70;
DR2.570.000.AYF1L;47;
DR2.570.000.WYF1L;47;
DR2.571.000.AYF1L;47;
DR2.571.000.WYF1L;47;
DR2.572.000.AYF1L;47;
DR2.573.000.AYF1L;47;
DR2.575.000.AYF1L;47;
DS1.560.000.AXD1L;47;
DS1.561.000.AXD1L;47;
DS1.564.000.AXD1L;47;
E22.110.000.AXE27;47;
E22.110.000.AYE27;47;
E22.110.000.WYE27;47;
E22.120.000.AYE27;47;
E22.120.000.WYE27;47;
E22.131.000.AXE27;47;
E22.131.000.AYE27;47;
E22.131.000.WYE27;47;
E22.151.000.AXF1R;47;
E22.156.S20.AXF1R;47;
E22.156.S20.AXL1R;47;
E300112503;79;
E300124203;79;
E300127702;79;
E300127804;79;
E300128001;79;
E300132607;79;
E300132901;79;
E300624600;79;
E300626500;79;
E300701300;79;
E300701400;79;
